CIK,Company Name,form,accession_number,filing_date,primary_document,document_url,txt_file_url
0001829030,"Masterworks 036, LLC",1-SA,0001493152-23-034149,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829030/000149315223034149/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001829030/000149315223034149/0001493152-23-034149.txt
0001839143,"Masterworks 037, LLC",1-K,0001493152-24-016295,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839143/000149315224016295/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839143/000149315224016295/0001493152-24-016295.txt
0001839143,"Masterworks 037, LLC",1-SA,0001493152-23-034150,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839143/000149315223034150/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839143/000149315223034150/0001493152-23-034150.txt
0001839158,"Masterworks 039, LLC",1-K,0001493152-24-016296,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839158/000149315224016296/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839158/000149315224016296/0001493152-24-016296.txt
0001839158,"Masterworks 039, LLC",1-SA,0001493152-23-034152,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839158/000149315223034152/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839158/000149315223034152/0001493152-23-034152.txt
0001839287,"Masterworks 040, LLC",1-K,0001493152-24-016297,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839287/000149315224016297/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001839287/000149315224016297/0001493152-24-016297.txt
0001839287,"Masterworks 040, LLC",1-SA,0001493152-23-034153,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839287/000149315223034153/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001839287/000149315223034153/0001493152-23-034153.txt
0001842525,"Masterworks 041, LLC",1-K,0001493152-24-016298,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842525/000149315224016298/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842525/000149315224016298/0001493152-24-016298.txt
0001842525,"Masterworks 041, LLC",1-SA,0001493152-23-034154,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001842525/000149315223034154/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001842525/000149315223034154/0001493152-23-034154.txt
0001842524,"Masterworks 042, LLC",1-K,0001493152-24-016299,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842524/000149315224016299/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842524/000149315224016299/0001493152-24-016299.txt
0001842524,"Masterworks 042, LLC",1-SA,0001493152-23-034155,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001842524/000149315223034155/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001842524/000149315223034155/0001493152-23-034155.txt
0001843102,"Masterworks 043, LLC",1-K,0001493152-24-016300,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001843102/000149315224016300/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001843102/000149315224016300/0001493152-24-016300.txt
0001843102,"Masterworks 043, LLC",1-SA,0001493152-23-034156,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001843102/000149315223034156/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001843102/000149315223034156/0001493152-23-034156.txt
0001843178,"Masterworks 044, LLC",1-K,0001493152-24-016301,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001843178/000149315224016301/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001843178/000149315224016301/0001493152-24-016301.txt
0001843178,"Masterworks 044, LLC",1-SA,0001493152-23-034157,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001843178/000149315223034157/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001843178/000149315223034157/0001493152-23-034157.txt
0001842552,"Masterworks 045, LLC",1-K,0001493152-24-016302,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842552/000149315224016302/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001842552/000149315224016302/0001493152-24-016302.txt
0001842552,"Masterworks 045, LLC",1-SA,0001493152-23-034158,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001842552/000149315223034158/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001842552/000149315223034158/0001493152-23-034158.txt
0001845195,"Masterworks 046, LLC",1-K,0001493152-24-016303,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845195/000149315224016303/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845195/000149315224016303/0001493152-24-016303.txt
0001845195,"Masterworks 046, LLC",1-SA,0001493152-23-034159,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001845195/000149315223034159/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001845195/000149315223034159/0001493152-23-034159.txt
